maskedcardno,cardno,blp_cardno
JJ<(XJJX<JPJPJ<0,1168011061515162,1168 0110 6151 5162
JJ<(XJJJJV'<<XVP,1168011119466095,1168 0111 1946 6095
JJ<(XJJJXCC(XVP0,1168011107780952,1168 0111 0778 0952
JJ<(XJJJJV0$(<V0,1168011119238692,1168 0111 1923 8692
JJ<(XJJXPJP<P0V0,1168011051565292,1168 0110 5156 5292
JJ<(XJJX(<VC($P$,1168011086978353,1168 0110 8697 8353
JJ<(XJJJJ$<<''X<,1168011113664406,1168 0111 1366 4406
JJ<(XJJJ00XC<X'(,1168011122076048,1168 0111 2207 6048
JJ<(XJJX<C'C(P'(,1168011067478548,1168 0110 6747 8548
JJ<(XJJJ$'XV<(0(,1168011134096828,1168 0111 3409 6828
JJ<(XJJX$<'J<JPC,1168011036416157,1168 0110 3641 6157
JJ<(XJJJJ$(V('CP,1168011113898475,1168 0111 1389 8475
JJ<(XJJX(V'X'('P,1168011089404845,1168 0110 8940 4845
JJ<(XJJJ0PPJCC'J,1168011125517741,1168 0111 2551 7741
JJ<(XJJJJV'<PJXP,1168011119465105,1168 0111 1946 5105
JJ<(XJJXP0$X$$V<,1168011052303396,1168 0110 5230 3396
JJ<(XJJXC(0<'$JC,1168011078264317,1168 0110 7826 4317
JJ<(XJJX'<0J'$C(,1168011046214378,1168 0110 4621 4378
JJ<(XJJJJVP<'(X(,1168011119564808,1168 0111 1956 4808
JJ<(XJJJX0PC<P0X,1168011102576520,1168 0111 0257 6520
JJ<(XJJXPPVP0J0',1168011055952124,1168 0110 5595 2124
JJ<(XJJX<J$CCCX',1168011061377704,1168 0110 6137 7704
JJ<(XJJX<J'P$<P$,1168011061453653,1168 0110 6145 3653
JJ<(XJJJX0P'V<J(,1168011102549618,1168 0111 0254 9618
JJ<(XJJX0(<PXVCV,1168011028650979,1168 0110 2865 0979
JJ<(XJJJ0P('J$P<,1168011125841356,1168 0111 2584 1356
JJ<(XJJJ00(J('C0,1168011122818472,1168 0111 2281 8472
JJ<(XJJX<VC(P<$P,1168011069785635,1168 0110 6978 5635
JJ<(XJJJ0P(<X($<,1168011125860836,1168 0111 2586 0836
JJ<(XJJXP($JP$'P,1168011058315345,1168 0110 5831 5345
JJ<(XJJJX(<PP$0(,1168011108655328,1168 0111 0865 5328
JJ<(XJJJ0(X'0$$$,1168011128042333,1168 0111 2804 2333
JJ<(XJJJJV0P(V00,1168011119258922,1168 0111 1925 8922
JJ<(XJJJJVJCX(VP,1168011119170895,1168 0111 1917 0895
JJ<(XJJJJV0''($J,1168011119244831,1168 0111 1924 4831
JJ<(XJJJ0(<0V$<X,1168011128629360,1168 0111 2862 9360
JJ<(XJJX<C(<C$$<,1168011067867336,1168 0110 6786 7336
JJ<(XJJJJXJC$XV<,1168011110173096,1168 0111 1017 3096
JJ<(XJJX<JJ0X($J,1168011061120831,1168 0110 6112 0831
JJ<(XJJX<0JXXV$J,1168011062100931,1168 0110 6210 0931
JJ<(XJJX<C<'JXVP,1168011067641095,1168 0110 6764 1095
JJ<(XJJJX0PJC<(X,1168011102517680,1168 0111 0251 7680
JJ<(XJJXP(CVCP<C,1168011058797567,1168 0110 5879 7567
JJ<(XJJJJJX'JCVC,1168011111041797,1168 0111 1104 1797
JJ<(XJJJXP$000(<,1168011105322286,1168 0111 0532 2286
JJ<(XJJXP(VP0C$$,1168011058952733,1168 0110 5895 2733
JJ<(XJJJJVPXV$PC,1168011119509357,1168 0111 1950 9357
JJ<(XJJX<J'$0XX',1168011061432004,1168 0110 6143 2004
JJ<(XJJJX0$CCC'C,1168011102377747,1168 0111 0237 7747
JJ<(XJJXVP$P$C0J,1168011095353721,1168 0110 9535 3721
JJ<(XJJJ0X<XC(0(,1168011120607828,1168 0111 2060 7828
JJ<(XJJXPP0C<CPP,1168011055276755,1168 0110 5527 6755
JJ<(XJJX<PC'(P$(,1168011065748538,1168 0110 6574 8538
JJ<(XJJJX000C'$V,1168011102227439,1168 0111 0222 7439
JJ<(XJJJ0PPP0<$J,1168011125552631,1168 0111 2555 2631
JJ<(XJJXP0<J$(JX,1168011052613810,1168 0110 5261 3810
JJ<(XJJJ0($CX(C',1168011128370874,1168 0111 2837 0874
JJ<(XJJJX'<($C(C,1168011104683787,1168 0111 0468 3787
JJ<(XJJXJCXX'CC',1168011017004774,1168 0110 1700 4774
JJ<(XJJX('XJJVCP,1168011084011975,1168 0110 8401 1975
JJ<(XJJX<JCXX<VV,1168011061700699,1168 0110 6170 0699
JJ<(XJJJJ$0''0<<,1168011113244266,1168 0111 1324 4266
JJ<(XJJJJ'JPV<$(,1168011114159638,1168 0111 1415 9638
JJ<(XJJXV$0(C'$',1168011093287434,1168 0110 9328 7434
JJ<(XJJXVV(0JPXV,1168011099821509,1168 0110 9982 1509
JJ<(XJJXPVX'P$<0,1168011059045362,1168 0110 5904 5362
JJ<(XJJXP0'J(XCV,1168011052418079,1168 0110 5241 8079
JJ<(XJJJ0XJ(C'(0,1168011120187482,1168 0111 2018 7482
JJ<(XJJJJVPXC'V0,1168011119507492,1168 0111 1950 7492
JJ<(XJJX'X0'$V0(,1168011040243928,1168 0110 4024 3928
JJ<(XJJX<'X$$(VX,1168011064033890,1168 0110 6403 3890
JJ<(XJJX(<PJ$'PC,1168011086513457,1168 0110 8651 3457
JJ<(XJJJJVVC$V($,1168011119973983,1168 0111 1997 3983
JJ<(XJJXVV(<(J0X,1168011099868120,1168 0110 9986 8120
JJ<(XJJX<JP$(J<',1168011061538164,1168 0110 6153 8164
JJ<(XJJJJJ$VJP$J,1168011111391531,1168 0111 1139 1531
JJ<(XJJJJV0(XJ(J,1168011119280181,1168 0111 1928 0181
JJ<(XJJX($$C0'V$,1168011083372493,1168 0110 8337 2493
JJ<(XJJXV$<0(X$$,1168011093628033,1168 0110 9362 8033
JJ<(XJJJJ$J''PPC,1168011113144557,1168 0111 1314 4557
JJ<(XJJJX(P$X0X(,1168011108530208,1168 0111 0853 0208
JJ<(XJJJX00$J<P',1168011102231654,1168 0111 0223 1654
JJ<(XJJXP0$0X<VC,1168011052320697,1168 0110 5232 0697
JJ<(XJJX<V($X<<0,1168011069830662,1168 0110 6983 0662
JJ<(XJJJ$C<PPX'0,1168011137655042,1168 0111 3765 5042
JJ<(XJJX<'0$$P0',1168011064233524,1168 0110 6423 3524
JJ<(XJJX(<P'PJC(,1168011086545178,1168 0110 8654 5178
JJ<(XJJJXP0(JV<J,1168011105281961,1168 0111 0528 1961
JJ<(XJJJ0(J0PXJ$,1168011128125013,1168 0111 2812 5013
JJ<(XJJXVV((C<<<,1168011099887666,1168 0110 9988 7666
JJ<(XJJJX0($$$C<,1168011102833376,1168 0111 0283 3376
JJ<(XJJJJ$V'($X',1168011113948304,1168 0111 1394 8304
JJ<(XJJXC'C'X$JX,1168011074740310,1168 0110 7474 0310
JJ<(XJJXC'C$X<0<,1168011074730626,1168 0110 7473 0626
JJ<(XJJJJV0(JV(J,1168011119281981,1168 0111 1928 1981
JJ<(XJJX0P''PCVP,1168011025445795,1168 0110 2544 5795
JJ<(XJJX<'(P<$'X,1168011064856340,1168 0110 6485 6340
JJ<(XJJXVP$0(<0',1168011095328624,1168 0110 9532 8624
JJ<(XJJJ00J$C$V',1168011122137394,1168 0111 2213 7394
JJ<(XJJX<'CX(<C$,1168011064708673,1168 0110 6470 8673
JJ<(XJJXV$(PP0CJ,1168011093855271,1168 0110 9385 5271
JJ<(XJJJ0XJPJPP$,1168011120151553,1168 0111 2015 1553
JJ<(XJJX0CJV0P'',1168011027192544,1168 0110 2719 2544
JJ<(XJJJJ<JX(C<P,1168011116108765,1168 0111 1610 8765
JJ<(XJJJJJJ0(XX(,1168011111128008,1168 0111 1112 8008
JJ<(XJJXPCVC'X(',1168011057974084,1168 0110 5797 4084
JJ<(XJJJJJXP<PPP,1168011111056555,1168 0111 1105 6555
JJ<(XJJJXPPX<VX',1168011105506904,1168 0111 0550 6904
JJ<(XJJJ0P$('<<0,1168011125384662,1168 0111 2538 4662
JJ<(XJJXVVPC'P(C,1168011099574587,1168 0110 9957 4587
JJ<(XJJJJ<C(00((,1168011116782288,1168 0111 1678 2288
JJ<(XJJJ0('0X$0$,1168011128420323,1168 0111 2842 0323
JJ<(XJJJJ$V$0P(V,1168011113932589,1168 0111 1393 2589
JJ<(XJJX($VXXCC0,1168011083900772,1168 0110 8390 0772
JJ<(XJJJJV<(0P(',1168011119682584,1168 0111 1968 2584
JJ<(XJJJX0P<V('(,1168011102569848,1168 0111 0256 9848
JJ<(XJJXVP'J$'PV,1168011095413459,1168 0110 9541 3459
JJ<(XJJJXCC$XPV$,1168011107730593,1168 0111 0773 0593
JJ<(XJJX'$$'X(P$,1168011043340853,1168 0110 4334 0853
JJ<(XJJX<JPP'(V(,1168011061554898,1168 0110 6155 4898
JJ<(XJJJ00C00VVC,1168011122722997,1168 0111 2272 2997
JJ<(XJJJXCX$<'((,1168011107036488,1168 0111 0703 6488
JJ<(XJJX($<$'0$J,1168011083634231,1168 0110 8363 4231
JJ<(XJJX<J0$(C(J,1168011061238781,1168 0110 6123 8781
JJ<(XJJX00XJJCC0,1168011022011772,1168 0110 2201 1772
JJ<(XJJX(J$PC<P0,1168011081357652,1168 0110 8135 7652
JJ<(XJJJJ'0VJ(JJ,1168011114291811,1168 0111 1429 1811
JJ<(XJJXV<VJ(PJ',1168011096918514,1168 0110 9691 8514
JJ<(XJJJX0J'(X(X,1168011102148080,1168 0111 0214 8080
JJ<(XJJJXCXJ(CPV,1168011107018759,1168 0111 0701 8759
JJ<(XJJXV<'0'P$V,1168011096424539,1168 0110 9642 4539
JJ<(XJJXCXC'CPC',1168011070747574,1168 0110 7074 7574
JJ<(XJJJXP0V(VPC,1168011105298957,1168 0111 0529 8957
JJ<(XJJXC(<(CX0X,1168011078687020,1168 0110 7868 7020
JJ<(XJJX<C'''CX<,1168011067444706,1168 0110 6744 4706
JJ<(XJJJJ<J$X((',1168011116130884,1168 0111 1613 0884
JJ<(XJJJ$JX'X$J<,1168011131040316,1168 0111 3104 0316
JJ<(XJJJ0PJV0PP0,1168011125192552,1168 0111 2519 2552
JJ<(XJJXC(PJP('J,1168011078515841,1168 0110 7851 5841
JJ<(XJJXV$<'J0VJ,1168011093641291,1168 0110 9364 1291
JJ<(XJJX($C$(J<',1168011083738164,1168 0110 8373 8164
JJ<(XJJJJ<$XPPV$,1168011116305593,1168 0111 1630 5593
JJ<(XJJXVVJ(VVV(,1168011099189998,1168 0110 9918 9998
JJ<(XJJJJ<(VCCVC,1168011116897797,1168 0111 1689 7797
JJ<(XJJX<CPVVVJ$,1168011067599913,1168 0110 6759 9913
JJ<(XJJJX(PJ$C(0,1168011108513782,1168 0111 0851 3782
JJ<(XJJXPV<X(<'V,1168011059608649,1168 0110 5960 8649
JJ<(XJJX$<JJVPX',1168011036119504,1168 0110 3611 9504
JJ<(XJJJ0PP'VCPJ,1168011125549751,1168 0111 2554 9751
JJ<(XJJXJVXV0'P',1168011019092454,1168 0110 1909 2454
JJ<(XJJJ00(<0(V0,1168011122862892,1168 0111 2286 2892
JJ<(XJJJX($0J00(,1168011108321228,1168 0111 0832 1228
JJ<(XJJX<'JPPVXV,1168011064155909,1168 0110 6415 5909
JJ<(XJJJ00$P('X',1168011122358404,1168 0111 2235 8404
JJ<(XJJX<$$$(0XV,1168011063338209,1168 0110 6333 8209
JJ<(XJJJ0(0X$J(0,1168011128203182,1168 0111 2820 3182
JJ<(XJJXCX0VCXCP,1168011070297075,1168 0110 7029 7075
JJ<(XJJX<'XJJPJ<,1168011064011516,1168 0110 6401 1516
JJ<(XJJX(CXPV0X$,1168011087059203,1168 0110 8705 9203
JJ<(XJJJXC(<JJVX,1168011107861190,1168 0111 0786 1190
JJ<(XJJX(J'0XVVC,1168011081420997,1168 0110 8142 0997
JJ<(XJJX<'0PC$C',1168011064257374,1168 0110 6425 7374
JJ<(XJJJJV0P<CX0,1168011119256702,1168 0111 1925 6702
JJ<(XJJJXP0V('V',1168011105298494,1168 0111 0529 8494
JJ<(XJJXCXC(V$<X,1168011070789360,1168 0110 7078 9360
JJ<(XJJJXCPV'$<J,1168011107594361,1168 0111 0759 4361
JJ<(XJJX<JJX(C<X,1168011061108760,1168 0110 6110 8760
JJ<(XJJXV$$(V0'(,1168011093389248,1168 0110 9338 9248
JJ<(XJJX<'<(CJ'J,1168011064687141,1168 0110 6468 7141
JJ<(XJJXVVXJVPCP,1168011099019575,1168 0110 9901 9575
JJ<(XJJX$$PJJCP0,1168011033511752,1168 0110 3351 1752
JJ<(XJJX<P0JJCC<,1168011065211776,1168 0110 6521 1776
JJ<(XJJJJJ<VP(<P,1168011111695865,1168 0111 1169 5865
JJ<(XJJX<'00'$VX,1168011064224390,1168 0110 6422 4390
JJ<(XJJJJX'X'J0V,1168011110404129,1168 0111 1040 4129
JJ<(XJJJXJV$(X0(,1168011101938028,1168 0111 0193 8028
JJ<(XJJXV((<X0PX,1168011098860250,1168 0110 9886 0250
JJ<(XJJXCCP$V('0,1168011077539842,1168 0110 7753 9842
JJ<(XJJJXJCPPX0<,1168011101755026,1168 0111 0175 5026
JJ<(XJJJ00<<J((X,1168011122661880,1168 0111 2266 1880
JJ<(XJJJJ'<0XV'',1168011114620944,1168 0111 1462 0944
JJ<(XJJX<'<PVV$',1168011064659934,1168 0110 6465 9934
JJ<(XJJX<$<P'0JC,1168011063654217,1168 0110 6365 4217
JJ<(XJJX<J(CVV(X,1168011061879980,1168 0110 6187 9980
JJ<(XJJXVV((0P(',1168011099882584,1168 0110 9988 2584
JJ<(XJJXP'X$J'JC,1168011054031417,1168 0110 5403 1417
JJ<(XJJXV<V(P'00,1168011096985422,1168 0110 9698 5422
JJ<(XJJX(V0<$0XV,1168011089263209,1168 0110 8926 3209
JJ<(XJJJ0P'C$$VX,1168011125473390,1168 0111 2547 3390
JJ<(XJJJJC'0JJPV,1168011117421159,1168 0111 1742 1159
JJ<(XJJJX0VC0VJV,1168011102972919,1168 0111 0297 2919
JJ<(XJJJXPX(J$0X,1168011105081320,1168 0111 0508 1320
JJ<(XJJJJ$0P<<VX,1168011113256690,1168 0111 1325 6690
JJ<(XJJXCP'JP<JP,1168011075415615,1168 0110 7541 5615
JJ<(XJJXP($(X$JP,1168011058380315,1168 0110 5838 0315
JJ<(XJJJX(<PCJ'0,1168011108657142,1168 0111 0865 7142
JJ<(XJJJ0P0($(XC,1168011125283807,1168 0111 2528 3807
JJ<(XJJXV$$(J$<V,1168011093381369,1168 0110 9338 1369
JJ<(XJJX<'J<XVP(,1168011064160958,1168 0110 6416 0958
JJ<(XJJX$'0CJJC',1168011034271174,1168 0110 3427 1174
JJ<(XJJXPVJ$$<X<,1168011059133606,1168 0110 5913 3606
JJ<(XJJXC(CP<$$(,1168011078756338,1168 0110 7875 6338
JJ<(XJJXV$<'J'VV,1168011093641499,1168 0110 9364 1499
JJ<(XJJX<J$P'X$',1168011061354034,1168 0110 6135 4034
JJ<(XJJXP(C<PCCX,1168011058765770,1168 0110 5876 5770
JJ<(XJJJJ$0'CCV(,1168011113247798,1168 0111 1324 7798
JJ<(XJJJXCX0CC0C,1168011107027727,1168 0111 0702 7727
JJ<(XJJJ0P'C<$X0,1168011125476302,1168 0111 2547 6302
JJ<(XJJXV<PCV00P,1168011096579225,1168 0110 9657 9225
JJ<(XJJJ0(C0<<P$,1168011128726653,1168 0111 2872 6653
JJ<(XJJJJ<$X0$JV,1168011116302319,1168 0111 1630 2319
JJ<(XJJJX0J'V0<X,1168011102149260,1168 0111 0214 9260
JJ<(XJJX<(('0X0$,1168011068842023,1168 0110 6884 2023
JJ<(XJJXP('P(X'<,1168011058458046,1168 0110 5845 8046
JJ<(XJJJ0PVXJP$J,1168011125901531,1168 0111 2590 1531
JJ<(XJJJ00XV''<0,1168011122094462,1168 0111 2209 4462
JJ<(XJJX$'P(<CCV,1168011034586779,1168 0110 3458 6779
JJ<(XJJJJVJ0VPC(,1168011119129578,1168 0111 1912 9578
JJ<(XJJXV<JJC<P$,1168011096117653,1168 0110 9611 7653
JJ<(XJJX0(P'C(JJ,1168011028547811,1168 0110 2854 7811
JJ<(XJJJJ$<C$0C',1168011113673274,1168 0111 1367 3274
JJ<(XJJJXP0<X0J$,1168011105260213,1168 0111 0526 0213
JJ<(XJJXV<P'P'(J,1168011096545481,1168 0110 9654 5481
JJ<(XJJJ$'(CC'<<,1168011134877466,1168 0111 3487 7466
JJ<(XJJJJVC$<XPV,1168011119736059,1168 0111 1973 6059
JJ<(XJJJJVPC<$XC,1168011119576307,1168 0111 1957 6307
JJ<(XJJX<J<<C$X0,1168011061667302,1168 0110 6166 7302
JJ<(XJJXPPC(<PPP,1168011055786555,1168 0110 5578 6555
JJ<(XJJJXPV$P<J<,1168011105935616,1168 0111 0593 5616
JJ<(XJJJXPP$0'CX,1168011105532470,1168 0111 0553 2470
JJ<(XJJJJ$($CVV',1168011113837994,1168 0111 1383 7994
JJ<(XJJXV$CP$(<',1168011093753864,1168 0110 9375 3864
JJ<(XJJXC0J0JCC(,1168011072121778,1168 0110 7212 1778
JJ<(XJJJ0(J'VPPV,1168011128149559,1168 0111 2814 9559
JJ<(XJJX<$CV'<(0,1168011063794682,1168 0110 6379 4682
JJ<(XJJX'VXCPXX(,1168011049075008,1168 0110 4907 5008
JJ<(XJJX'$C<'XV',1168011043764094,1168 0110 4376 4094
JJ<(XJJJJVJ'J<<',1168011119141664,1168 0111 1914 1664
JJ<(XJJJX0$V'C'0,1168011102394742,1168 0111 0239 4742
JJ<(XJJX(<V0V'CJ,1168011086929471,1168 0110 8692 9471
JJ<(XJJJJ<J0'PP<,1168011116124556,1168 0111 1612 4556
JJ<(XJJX<'J0J0(J,1168011064121281,1168 0110 6412 1281
JJ<(XJJJJV$CXPP0,1168011119370552,1168 0111 1937 0552
JJ<(XJJX<'PC(<J$,1168011064578613,1168 0110 6457 8613
JJ<(XJJX''0'VCJP,1168011044249715,1168 0110 4424 9715
JJ<(XJJJJ<X<P'V',1168011116065494,1168 0111 1606 5494
JJ<(XJJXVX<<XXXP,1168011090660005,1168 0110 9066 0005
JJ<(XJJXV<JXPV$X,1168011096105930,1168 0110 9610 5930
JJ<(XJJJJ$X<XXC<,1168011113060076,1168 0111 1306 0076
JJ<(XJJJX(X<VVXX,1168011108069900,1168 0111 0806 9900
JJ<(XJJX('XJ0<0C,1168011084012627,1168 0110 8401 2627
JJ<(XJJJXPX$PJPJ,1168011105035151,1168 0111 0503 5151
JJ<(XJJX(CC(J0V$,1168011087781293,1168 0110 8778 1293
JJ<(XJJX<'X<VX0C,1168011064069027,1168 0110 6406 9027
JJ<(XJJJJCJ0'VJX,1168011117124910,1168 0111 1712 4910
JJ<(XJJX<JXX'0P(,1168011061004258,1168 0110 6100 4258
JJ<(XJJXCPPVC(($,1168011075597883,1168 0110 7559 7883
JJ<(XJJXVXV0C$'C,1168011090927347,1168 0110 9092 7347
JJ<(XJJX<'C0V(<V,1168011064729869,1168 0110 6472 9869
JJ<(XJJX<'CCP'<<,1168011064775466,1168 0110 6477 5466
JJ<(XJJXPPXPV0XJ,1168011055059201,1168 0110 5505 9201
JJ<(XJJXCCXP<JJX,1168011077056110,1168 0110 7705 6110
JJ<(XJJJXJ<J$0$$,1168011101613233,1168 0111 0161 3233
JJ<(XJJJXPV0(CX0,1168011105928702,1168 0111 0592 8702
JJ<(XJJXP($V'('P,1168011058394845,1168 0110 5839 4845
JJ<(XJJJX0'JCVC0,1168011102417972,1168 0111 0241 7972
JJ<(XJJJJ<PX'($J,1168011116504831,1168 0111 1650 4831
JJ<(XJJJJVC'$<PV,1168011119743659,1168 0111 1974 3659
JJ<(XJJXCXP'$VC$,1168011070543973,1168 0110 7054 3973
JJ<(XJJXVP'J(C<$,1168011095418763,1168 0110 9541 8763
JJ<(XJJJJX<JPJ0X,1168011110615120,1168 0111 1061 5120
JJ<(XJJXPC$<XXJJ,1168011057360011,1168 0110 5736 0011
JJ<(XJJX<CPV0'<0,1168011067592462,1168 0110 6759 2462
JJ<(XJJJ00J(XJXP,1168011122180105,1168 0111 2218 0105
JJ<(XJJJ00VC0PC<,1168011122972576,1168 0111 2297 2576
JJ<(XJJXV<V(0J$X,1168011096982130,1168 0110 9698 2130
JJ<(XJJJX(VC'<J0,1168011108974612,1168 0111 0897 4612
JJ<(XJJX(CC0$<XX,1168011087723600,1168 0110 8772 3600
JJ<(XJJX<<'CXJ'X,1168011066470140,1168 0110 6647 0140
JJ<(XJJJX(PPCCVC,1168011108557797,1168 0111 0855 7797
JJ<(XJJJJJX'$<P0,1168011111043652,1168 0111 1104 3652
JJ<(XJJX<<VX$CJX,1168011066903710,1168 0110 6690 3710
JJ<(XJJJ$J<CX'V0,1168011131670492,1168 0111 3167 0492
JJ<(XJJXV<<0J('P,1168011096621845,1168 0110 9662 1845
JJ<(XJJJJ$JP<$X',1168011113156304,1168 0111 1315 6304
JJ<(XJJXVVJX'CJ<,1168011099104716,1168 0110 9910 4716
JJ<(XJJJXP$$$<$X,1168011105333630,1168 0111 0533 3630
JJ<(XJJX<''<P$VV,1168011064465399,1168 0110 6446 5399
JJ<(XJJJXPVPJ0VX,1168011105951290,1168 0111 0595 1290
JJ<(XJJXVV((JCC<,1168011099881776,1168 0110 9988 1776
JJ<(XJJX'XJ0XVJX,1168011040120910,1168 0110 4012 0910
JJ<(XJJJXCCC0$X<,1168011107772306,1168 0111 0777 2306
JJ<(XJJJJ$CCV'CC,1168011113779477,1168 0111 1377 9477
JJ<(XJJXV$$0$(P(,1168011093323858,1168 0110 9332 3858
JJ<(XJJXV(0JC<J(,1168011098217618,1168 0110 9821 7618
JJ<(XJJJJJJX0C(V,1168011111102789,1168 0111 1110 2789
JJ<(XJJXPP0$0(J<,1168011055232816,1168 0110 5523 2816
JJ<(XJJX<'V(<X'(,1168011064986048,1168 0110 6498 6048
JJ<(XJJJJVC$'C0',1168011119734724,1168 0111 1973 4724
JJ<(XJJJJVXVC<<(,1168011119097668,1168 0111 1909 7668
JJ<(XJJXPJ(XPJPJ,1168011051805151,1168 0110 5180 5151
JJ<(XJJJJXCPJ$P',1168011110751354,1168 0111 1075 1354
JJ<(XJJJ$C(VPX0(,1168011137895028,1168 0111 3789 5028
JJ<(XJJJXC0CP00C,1168011107275227,1168 0111 0727 5227
JJ<(XJJXVV'XC(J0,1168011099407812,1168 0110 9940 7812
JJ<(XJJJXP<XV(V(,1168011105609898,1168 0111 0560 9898
JJ<(XJJXP$<CJJ$X,1168011053671130,1168 0110 5367 1130
JJ<(XJJXVP0<XP$(,1168011095260538,1168 0110 9526 0538
JJ<(XJJJJ$<PC<0',1168011113657624,1168 0111 1365 7624
JJ<(XJJJXJJ<XJCC,1168011101160177,1168 0111 0116 0177
JJ<(XJJJXC<<'0CJ,1168011107664271,1168 0111 0766 4271
JJ<(XJJX($<V$V(V,1168011083693989,1168 0110 8369 3989
JJ<(XJJJJC0<$$CV,1168011117263379,1168 0111 1726 3379
JJ<(XJJXVXPCP<<<,1168011090575666,1168 0110 9057 5666
JJ<(XJJJJJ(XJX0<,1168011111801026,1168 0111 1180 1026
JJ<(XJJX$<VJV0'0,1168011036919242,1168 0110 3691 9242
JJ<(XJJXP''PX''$,1168011054450443,1168 0110 5445 0443
JJ<(XJJJJ<$VX'((,1168011116390488,1168 0111 1639 0488
JJ<(XJJX<$PV'VJ(,1168011063594918,1168 0110 6359 4918
JJ<(XJJJJX(VP(P',1168011110895854,1168 0111 1089 5854
JJ<(XJJXP0JC'VP$,1168011052174953,1168 0110 5217 4953
JJ<(XJJJJ<0VX(0V,1168011116290829,1168 0111 1629 0829
JJ<(XJJX<<0XC0'P,1168011066207245,1168 0110 6620 7245
JJ<(XJJX<'C0V0'X,1168011064729240,1168 0110 6472 9240
JJ<(XJJJX'XCCCXV,1168011104077709,1168 0111 0407 7709
JJ<(XJJJXP0'JJ$X,1168011105241130,1168 0111 0524 1130
JJ<(XJJJJ<VJ'J'C,1168011116914147,1168 0111 1691 4147
JJ<(XJJXV$CV(J0P,1168011093798125,1168 0110 9379 8125
JJ<(XJJX'<0000V(,1168011046222298,1168 0110 4622 2298
JJ<(XJJXJJPC<'<0,1168011011576462,1168 0110 1157 6462
JJ<(XJJX'V0$$C$X,1168011049233730,1168 0110 4923 3730
JJ<(XJJXP('V0'0P,1168011058492425,1168 0110 5849 2425
JJ<(XJJJJ<(<CP'$,1168011116867543,1168 0111 1686 7543
JJ<(XJJJJ$'VCVCJ,1168011113497971,1168 0111 1349 7971
JJ<(XJJX(<$P$'XV,1168011086353409,1168 0110 8635 3409
JJ<(XJJJX0CC$XPJ,1168011102773051,1168 0111 0277 3051
JJ<(XJJXVP'J$0'',1168011095413244,1168 0110 9541 3244
JJ<(XJJXPP0<X$P$,1168011055260353,1168 0110 5526 0353
JJ<(XJJJXP<P(V0V,1168011105658929,1168 0111 0565 8929
JJ<(XJJJXPV<''($,1168011105964483,1168 0111 0596 4483
JJ<(XJJX(J(CVC'C,1168011081879747,1168 0110 8187 9747
JJ<(XJJX<'((XJ0<,1168011064880126,1168 0110 6488 0126
JJ<(XJJJXJV(JX<V,1168011101981069,1168 0111 0198 1069
JJ<(XJJJX(P$0(X(,1168011108532808,1168 0111 0853 2808
JJ<(XJJJX0V<V'CC,1168011102969477,1168 0111 0296 9477
JJ<(XJJJ0P$<V<J',1168011125369614,1168 0111 2536 9614
JJ<(XJJXPP<<'0VV,1168011055664299,1168 0110 5566 4299
JJ<(XJJX(J<V$$X',1168011081693304,1168 0110 8169 3304
JJ<(XJJXC'(''C0',1168011074844724,1168 0110 7484 4724
JJ<(XJJJX(0<XCXC,1168011108260707,1168 0111 0826 0707
JJ<(XJJXV<VP0<(C,1168011096952687,1168 0110 9695 2687
JJ<(XJJX<J0JV'JV,1168011061219419,1168 0110 6121 9419
JJ<(XJJX''0'V<'X,1168011044249640,1168 0110 4424 9640
JJ<(XJJXJC0$P$JJ,1168011017235311,1168 0110 1723 5311
JJ<(XJJJJ<CX(<<$,1168011116708663,1168 0111 1670 8663
JJ<(XJJJXCV0'$X$,1168011107924303,1168 0111 0792 4303
JJ<(XJJX'XPPXPVP,1168011040550595,1168 0110 4055 0595
JJ<(XJJJJ$$P'C0C,1168011113354727,1168 0111 1335 4727
JJ<(XJJXCP'J'0P$,1168011075414253,1168 0110 7541 4253
JJ<(XJJXVVPCVCXJ,1168011099579701,1168 0110 9957 9701
JJ<(XJJJJV'0''C',1168011119424474,1168 0111 1942 4474
JJ<(XJJXP'X0X<VJ,1168011054020691,1168 0110 5402 0691
JJ<(XJJJX(00'(CC,1168011108224877,1168 0111 0822 4877
JJ<(XJJJ0(0P'PC$,1168011128254573,1168 0111 2825 4573
JJ<(XJJXP(PCP0C(,1168011058575278,1168 0110 5857 5278
JJ<(XJJX<''C0JPP,1168011064472155,1168 0110 6447 2155
JJ<(XJJJX(<CX0$<,1168011108670236,1168 0111 0867 0236
JJ<(XJJJXCVX<00C,1168011107906227,1168 0111 0790 6227
JJ<(XJJX<JC((PVP,1168011061788595,1168 0110 6178 8595
JJ<(XJJJ0P<X(JCC,1168011125608177,1168 0111 2560 8177
JJ<(XJJX<X'CJP'X,1168011060471540,1168 0110 6047 1540
JJ<(XJJJ$CVJ0$$<,1168011137912336,1168 0111 3791 2336
JJ<(XJJXC(C$0JC0,1168011078732172,1168 0110 7873 2172
JJ<(XJJJXP0'J$X',1168011105241304,1168 0111 0524 1304
JJ<(XJJJX'C$$J$C,1168011104733137,1168 0111 0473 3137
JJ<(XJJJ$'<0PVC0,1168011134625972,1168 0111 3462 5972
JJ<(XJJX$<XVC0CX,1168011036097270,1168 0110 3609 7270
JJ<(XJJXP(VJC<$C,1168011058917637,1168 0110 5891 7637
